doi,title,year,venue,is_oa,pdf_url,download_status
10.1080/14766825.2018.1530876,Tourism in the Arab world: an industry perspective,2018,Journal of Tourism and Cultural Change,False,,pending
10.21608/jaauth.2019.76472,Digital Heritage Applications and its Impact on Cultural Tourism,2019,Journal of Association of Arab Universities for Tourism and Hospitality,True,,pending
10.21608/jaauth.2020.23576.1004,Urban Primacy; Historical Cities; Cultural Tourism; Rehabilitation; Historical City of Zabid.,2020,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_94934_bedbf43a18c991e55b9bf0a9d67580d3.pdf,skip:blocked_host
10.21608/jaauth.2014.57571,Applications of Augmented Reality in cultural tourism: The case of Bibliotheca Alexandrina,2014,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_57571_b835d52f0b6a7230f1cd8d26d0eaa823.pdf,skip:blocked_host
10.21608/jaauth.2016.49696,The Role of Tunis Village in Fayoum Governorate as a Cultural Tourism Model,2016,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_49696_4eb863e6bba9784ebff11b5da091aa58.pdf,skip:blocked_host
10.21608/jaauth.2014.54041,The Impact of Tourism on The Cultural Identity at The Age of Globalization Egyptian Perspective,2014,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_54041_a96cbc49e98ea441ea1e66cdbe4957fa.pdf,skip:blocked_host
10.21608/jaauth.2021.76990.1181,Methods of Promoting Sustainable Cultural Heritage Tourism: Empirical Study: Abu Mina Archaeological Site in Alexandria,2021,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_177153_b6f4b83eb4cb0002f8b5d0ae03a66aeb.pdf,skip:blocked_host
10.21608/jaauth.2020.40470.1065,The Role of Heritage Hotels in the Development of Creative Cultural Tourism: The case study of Egypt,2020,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_113039_4968279abfdd96230b6fee8608448ed7.pdf,skip:blocked_host
10.21608/jaauth.2016.49965,The Influence of Cultural Values' Variations on the Service Customization: Evidence from Egyptian Tourism &amp; Hospitality Sector,2016,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_49965_2ddef1e65bc49ce61fbf52485d382cb6.pdf,skip:blocked_host
10.21608/jaauth.2022.125977.1315,Motivations And Attitudes of Egyptian Divers in Underwater Cultural Heritage Sites,2022,Journal of Association of Arab Universities for Tourism and Hospitality,True,,pending
10.21608/jaauth.2019.76469,"An Experience of Presenting Cultural Attractions and Tourism Services Using Google Maps Technology in Matrouh Governorate, Egypt",2019,Journal of Association of Arab Universities for Tourism and Hospitality,True,,pending
10.30892/gtg.31314-537,ADVANCES IN CULTURAL TOURISM: TWO EXAMPLES FROM THE EMIRATE OF ABU DHABI (UAE),2020,GeoJournal of Tourism and Geosites,True,https://doi.org/10.30892/gtg.31314-537,ok
10.21608/jaauth.2023.225385.1490,Protecting the Cultural Identity of Employees in the Tourism Field in Light of the Digital Age (Applied on Al-Balqa University Students),2023,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_312344_ae2155771e3e59586969176bb9c70523.pdf,skip:blocked_host
10.21608/jaauth.2024.333094.1625,Beyond the Symbol: The Cultural Significance of New Kingdom Royal Monograms,2024,Journal of Association of Arab Universities for Tourism and Hospitality,True,,pending
10.21608/jaauth.2024.289782.1578,How does cultural tourism promotion enhance inbound tourist movement? The pivotal role of Egyptian embassies abroad,2024,Journal of Association of Arab Universities for Tourism and Hospitality,True,,pending
10.21608/jaauth.2026.451311.1738,Impact of Immersive Sound and Light Shows Experience on Enhancing Visitors&amp;#039; Satisfaction and the Cultural Tourism: A Case Study of Qaitbay Citadel,2026,Journal of Association of Arab Universities for Tourism and Hospitality,True,,pending
10.1016/j.culher.2018.06.005,The destruction of cultural heritage and international tourism: The case of the Arab countries,2018,Journal of Cultural Heritage,False,,pending
10.21608/jaauth.2014.57687,Cultural Exchange Between Egypt and The Ancient Near East During the Pre and Early Dynastic Periods,2014,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_57687_860c44065166b42b269556a64fcfe461.pdf,skip:blocked_host
10.21608/jaauth.2025.439841.1721,The Effect of the Integration between the Ministry of Tourism and the Ministry of Antiquities in Promoting the Cultural Tourism Product,2025,Journal of Association of Arab Universities for Tourism and Hospitality,True,,pending
10.21608/jaauth.2020.51915.1092,The Celebration of Mūlid Sīdī al-cIryān (Saint Barsum the Naked) from an Intangible Cultural Heritage Perspective,2020,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_132339_8d7a7c078a9331669ebc14cabda10313.pdf,skip:blocked_host
10.1108/ijcthr-01-2015-0003,"Cultural issues in tourism, hospitality and leisure in the Arab/Muslim world",2015,"International Journal of Culture, Tourism and Hospitality Research",False,,pending
10.1093/oso/9780190876036.003.0010,“Curating the Mellah”,2018,Social Currents in North Africa,False,,pending
10.21608/jaauth.2025.389619.1688,Tattooing as a Cultural Heritage among Ancient Egyptian Thought through the Ages and Modern Technologies,2025,Journal of Association of Arab Universities for Tourism and Hospitality,True,,pending
10.21608/jaauth.2023.224575.1486,Cultural heritage authenticity: Effects on place attachment and revisit intention through the mediating role of tourist experience,2023,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_312870_5a91e35a2f1d1b9fdcc2fe655433794a.pdf,skip:blocked_host
10.4324/9780203790601-22,The cultural tourism market: a cultural tourism typology,2014,Cultural Tourism,False,,pending
10.21608/jaauth.2014.57539,"Modifying the legislative structure for the protection of monuments to serve the cultural, economic and tourist importance of the monument",2014,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_57539_579f977c955a0894e36457ee6e5880e4.pdf,skip:blocked_host
10.21608/jaauth.2024.278001.1563,The cultural and political activity of the Albanian community in Egypt 1878 -1912 A.D and its role in tourist attraction,2024,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_349268_7327833a2f50a86918372514039a1203.pdf,skip:blocked_host
10.2307/jj.28209953.16,Arab Politics and Tourism:,2010,Tourism and Political Change,False,,pending
10.21608/jaauth.2022.127665.1324,Tourism Leadership by Emotional Intelligence as an Instrument for Arab Tourism Integration,2022,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_245790_3f4997948cb92b974b6ff89a3f4098f1.pdf,skip:blocked_host
10.5040/9780755610884.ch-006,Still Searching for The Arab Present Cultural Tense: Arab Cultural Studies,2010,Cultural Encounters in the Arab World,False,,pending
10.21608/jaauth.2026.461035.1744,Orange Economy and Its Role in Enhancing the Cultural Identity of the Egyptian Tourist Destination,2026,Journal of Association of Arab Universities for Tourism and Hospitality,True,,pending
10.4324/9780203790601-25,Cultural tourism products,2014,Cultural Tourism,False,,pending
10.21608/jaauth.2022.115752.1286,The Importance of Cultural Events on Improving The Image of Egypt as a Tourist Destination “The Procession of Transferring the Royal Mummies to the Museum of Civilization”,2022,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_216561_7807801964732e6cd784cb4d226f15b6.pdf,skip:blocked_host
10.21608/jaauth.2021.56250.1112,Studying The Impact of Applying Sustainable Marketing Practices for Traditional Crafts in Siwa Oasis on its Employees; Performance: The Moderating Role of Crafts and Cultural Orientation,2021,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_207165_0a33692c6567fbcf7aa0cbe47ce1fd1a.pdf,skip:blocked_host
10.21608/jaauth.2025.438530.1717,The Role of Innovative Modern Technology and Digital Transformation in Reviving Egypt's Cultural Heritage and Historical Insights (Case Study of the Grand Egyptian Museum).,2025,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_468267_d74eeab10e527443708d94b945501c0a.pdf,skip:blocked_host
10.2307/1354420,Arab Women Arab Wars,1994,Cultural Critique,False,,pending
10.1556/9789634547983.2,Cultural tourism products and tourism attractions,2022,"Cultural, creative and culinary tourism",False,,pending
10.4324/9780203790601-13,Introduction: defining cultural tourism,2014,Cultural Tourism,False,,pending
10.21608/jaauth.2022.129786.1334,Analyzing the Trends of the Inter-Arab Tourism Movement,2022,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_244235_92b05a12941deea4072bc1002aed40f6.pdf,skip:blocked_host
10.2307/jj.22730609.13,Tunisian Tourism:,2017,Tourism in the Arab World,False,,pending
10.23912/9781910158814-3432,Egypt’s Tourism Industry and the Arab Spring,2017,Tourism,True,https://strathprints.strath.ac.uk/58369/1/Tomazos_TPC_2017_Egypts_tourism_industry_and_the_arab_spring.pdf,ok
10.24093/awejtls/vol6no3.6,Cultural Mediation in Tourism Translation: Saudi Arabia as a Case Study,2022,Arab World English Journal For Translation and Literary Studies,False,,pending
10.21608/jaauth.2022.130141.1336,Analysis of indicators of global tourism competitiveness and their impact on the development of inter-Arab tourism (a field study),2022,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_245164_8e99997976e0ae0329da04c38c2997bf.pdf,skip:blocked_host
10.4324/9780203790601-14,Challenges in achieving sustainable cultural tourism,2014,Cultural Tourism,False,,pending
10.4324/9780203402825-28,Indigenous cultural tourism,2003,Issues in Cultural Tourism Studies,False,,pending
10.4324/9780203402825-9,Reconceptualising cultural tourism,2003,Issues in Cultural Tourism Studies,False,,pending
10.4324/9781315767697-21,Sustainable cultural tourism,2015,Issues in Cultural Tourism Studies,False,,pending
10.4324/9780203722268-4,Event Tourism and Cultural Tourism: Issues &amp; Debates: An Introduction,2013,Event Tourism and Cultural Tourism,False,,pending
10.2307/jj.22730609.5,Tourism Development and Governance:,2017,Tourism in the Arab World,False,,pending
10.4324/9780080455471-13,Cultural tourism attractions and environmental performance,2006,International Cultural Tourism,False,,pending
10.4337/9781789905441.00007,Actors in cultural tourism practices,2021,Rethinking Cultural Tourism,True,https://www.elgaronline.com/downloadpdf/9781789905434.00007.pdf,fail:rescue
10.5040/9780755611157.ch-001,Introduction,2012,Arab Cultural Studies,False,,pending
10.5040/9780755611157.ch-002,History in Arab Media Studies: A Speculative Cultural History,2012,Arab Cultural Studies,False,,pending
10.21608/jaauth.2021.65542.1142,The Impact of Insta Tourism on Tourism Decision Making of Generation Y,2021,Journal of Association of Arab Universities for Tourism and Hospitality,True,https://jaauth.journals.ekb.eg/article_159153_d9ef1f2a64221346e3cae8bf5ad3554e.pdf,skip:blocked_host
10.4324/9781315767697-13,The geography of cultural tourism,2015,Issues in Cultural Tourism Studies,False,,pending
10.4337/9781789905441.00011,Emerging research agendas in cultural tourism,2021,Rethinking Cultural Tourism,False,,pending
