paper_id,DOI,title,language_verified,fulltext_verified,topic_relevance,terms_version,b1_version,include_in_model,include_in_case,exclude_reason
W4400143370,10.36325/ghjec.v15i3.5436,واقع القطاع السياحي في محافظة النجف الاشرف - دراسة تحليلية,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W4324125760,10.37653/juah.2012.52094,السیاحة الصحراویة فی محافظة الانبار,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W2218741503,10.36322/jksc.v1i17.5261,دور المصارف التقليدية والشاملة في تفعيل قطاع السياحة في محافظة النجف دراسة ميدانية,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W4240708460,10.33948/jap-ksu-33-1-3,تتبع درب زبيدة التاريخي من الكوفة حتى مكة المكرمة باستخدام نظم المعلومات الجغرافية,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W2620257661,10.36325/ghjec.v13i40.5638,توظيف عقود المبادلات في مجال الفنادق والسياحة دراسة تحليلية في عينة من الفنادق العراقية المسجلة في سوق العراق للأوراق المالية,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W2951414388,10.31430/yywd4899,التحولات الاجتماعية التاريخية لمدينة المنامة: معادلات الديموغرافيا والأسلمة والتسويق,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W2975153829,,إعداد مواد اللغة العربية للأغراض السياحية على أساس النظرية التواصلية لموظفي متحف د-توفينج باتو – جاوى الشرقية,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W3115118085,10.36325/ghjec.v15i1.5384,أثر إدارة المراسم والاتيكيت في تحقيق النجاح الاستراتيجي لمنظمات الضيافة,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W2803367349,10.18860/abj.v2i1.5308,تطوير الموسوعة السياحية على أساس الصورة الفوتوغرافية في الوكالة السياحية لمدينة مالانج,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W3081380309,10.36325/ghjec.v14i4.5559,العوامل الديموغرافية وأثرها في قرار السلوك الشرائي,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W2910037742,10.36325/ghjec.v15i2.5399,الصورة الذهنية للسائحوأثرها في تحقيق النجاح الاستراتيجي لمنظمات الضيافة,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
W2736807766,10.31436/jlls.v8i1.480,المقاربة النقدية الحديثة للتراث العربي القديم: المعارضة الأدبية أنموذجا / Modern Critical Approach on the Traditional Arabic Heritage: Literary Refutation as An Example.,待人工,待人工,待人工,3332966f,12233,1,1,不在B1主表(12233)
