source,target,weight
Tour,旅游,2033
文化,遗产,528
Nation,目的地,448
Search,研究,336
文化,旅游,318
Tour,遗产,305
Tour,文化,297
旅游,遗产,293
发展,旅游,288
Nation,旅游,282
Nation,国家,263
Nation,Tour,255
Tour,发展,239
City,原真性,232
旅游,艺术,207
City,旅游,197
Challenges,挑战,191
City,Tour,189
社交媒体,社会,187
Tour,艺术,181
Tour,目的地,178
Change,交流,175
Gene,Rate,165
Tour,游客,162
Image,Nation,159
可持续,旅游,154
Media,社会,151
旅游,目的地,149
旅游,遗产旅行,149
Media,社交媒体,147
Gene,Generative Ai,146
旅游,研究,137
World,遗产,137
Generated,Rate,136
Content,Gene,135
Silk,丝绸之路,133
Tour,遗产旅行,132
Image,目的地,129
Tour,研究,127
Real,Reality,125
Tour,可持续,124
Rate,user generated,123
Site,遗产,120
Work,框架,118
Role,Role Of,118
Role Of,role of,114
Role,role of,114
Gene,generative ai,114
遗产,遗产旅行,112
Rate,generated content,111
Gene,generated content,111
Generative Ai,generative ai,110
Site,World,110
国家,国际,109
Nation,国际,109
Brand,Branding,108
Nation,文化,107
Road,丝绸之路,107
Road,Silk,107
Site,Sites,106
Intangible,文化,105
Content,Rate,104
原真性,旅游,104
World,旅游,103
World,阿拉伯,103
Nation,社会,101
Tour,经验,101
文化,文化旅行,101
Image,Tour,101
Image,旅游,100
Tour,原真性,100
Site,旅游,98
Cross-Cultural,文化,98
Nation,Rate,97
Rate,旅游,97
Search,Tour,96
Gene,Generated Content,95
Generated Content,Rate,95
学习,机器学习,94
发展,可持续,94
Tour,World,94
Generated Content,generated content,94
Text,text mining,93
Site,Tour,93
Gene,Generated,92
Power,Soft,92
Nation,社交媒体,91
智慧旅行,艺术,91
Reality,Virtual,90
Real,Virtual,90
Text,Text Mining,90
数字,文化,90
Text,语境,89
Search,旅游,89
Content,generated content,89
Formation,信息,88
Gene,user generated,88
Image,朝圣者,88
Gene,Generative,87
Content,Generated Content,87
City,文化,85
City,遗产,85
Text Mining,text mining,85
Generated,user generated,85
旅游,智慧旅行,84
Perspectives,视角,83
文化旅行,旅游,83
旅游,视角,83
Diplomacy,文化,83
数字,旅游,83
Brand,Nation,83
Virtual,虚拟现实,82
Reality,虚拟现实,82
Issue,Issues,81
Tour,文化旅行,81
影响,旅游,81
Marketing,旅游,80
中国,文化,80
Twin,数字,79
Real,虚拟现实,79
Generative,generative ai,78
Branding,Nation,78
数字,遗产,78
Dark,旅游,78
Media,Nation,77
Tour,智慧旅行,77
Carrying,City,77
Tour,管理,76
旅游,阿拉伯,76
Dark,Tour,76
发展,文化,75
Post,旅游,75
Branding,Place,75
Work,Works,74
East,Middle East,74
学习,预测,74
Intangible,遗产,74
generated content,user generated,74
Rate,Strategies,73
Graph,知识,73
Language,阿拉伯,73
文化,研究,72
旅游,管理,72
Saudi,阿拉伯,72
Work,网络,71
Gene,Generation,71
发展,遗产,71
旅游,旅行,70
East,The Middle East,70
Tour,旅行,70
Mining,Text,70
Place,Place Branding,70
Branding,Place Branding,70
Generative,Generative Ai,69
Community,旅游,69
Community,Tour,69
Jazeera,al jazeera,69
Change,文化,68
Soft,软实力,68
Power,软实力,68
Plan,规划,67
旅游,社会,67
Power,文化,67
Tour,数字,66
Carrying,carrying capacity,66
City,carrying capacity,66
Demand,预测,66
Machine,学习,65
Rate,文化,65
Text,旅游,65
文化,阿拉伯,65
Place,place branding,65
Branding,place branding,65
Place Branding,place branding,65
机器学习,预测,64
Post,Tour,64
原真性,遗产,64
Generated Content,user generated,64
Intelligence,艺术,63
Market,Marketing,63
Nation,Nation Branding,63
Marketing,Tour,63
Gene,旅游,63
Land,旅游,63
Applications,应用,62
View,系统综述,61
旅游,经验,61
Tour,影响,61
旅游,经济,61
Mining,Text Mining,61
文化,文化外交,61
Rate,Tour,61
原真性,文化,61
Effects,效果,60
Machine,机器学习,60
Nation,发展,60
East,Middle,60
Nation,艺术,60
Tour,视角,60
Mining,text mining,60
文化,经验,60
Sites,遗产,60
Content,user generated,60
Community,遗产,60
Diplomacy,文化外交,59
文化,知识,59
政策,旅游,59
Tour,政策,59
度量分析,文献计量分析,58
可持续,可持续旅行,58
可持续旅行,旅游,58
Tour,可持续旅行,58
Middle,Middle East,58
Media,旅游,58
Nation,Role,58
可持续发展,旅游,58
Soft,文化,58
中国,旅游,58
