source,target,type
法国,10.5194/gmd-9-1937-2016,country_paper
英国,10.1182/blood-2016-03-643544,country_paper
英国,10.1056/nejmoa050496,country_paper
美国,10.15620/cdc:82532,country_paper
英国,10.1038/s41375-022-01620-2,country_paper
摩洛哥,10.1038/s41562-016-0021,country_paper
法国,10.1186/s13059-015-0721-2,country_paper
美国,10.1038/s41564-020-0688-y,country_paper
英国,10.1093/nar/gkv1248,country_paper
法国,10.5539/ass.v9n5p18,country_paper
法国,10.1007/s11192-020-03690-4,country_paper
中国,10.1029/eo056i011p00838,country_paper
美国,10.2196/65537,country_paper
摩洛哥,10.48550/arxiv.2409.13731,country_paper
英国,10.1056/nejmoa0807646,country_paper
英国,10.1056/nejmoa1709937,country_paper
英国,10.1182/blood-2009-03-209262,country_paper
英国,10.1038/s41375-022-01613-1,country_paper
美国,10.15585/mmwr.rr6501e1,country_paper
摩洛哥,10.1001/jamaneurol.2020.2065,country_paper
英国,10.1056/nejmoa010307,country_paper
英国,10.1186/1471-2105-4-41,country_paper
摩洛哥,10.3145/epi.2020.ene.03,country_paper
法国,10.1073/pnas.1914221117,country_paper
法国,10.1002/asi.21421,country_paper
美国,10.3390/su10030639,country_paper
摩洛哥,10.1038/s41746-023-00899-4,country_paper
中国,10.1257/jep.26.4.103,country_paper
英国,10.1038/s41586-018-0579-z,country_paper
法国,10.1186/1471-2164-12-402,country_paper
英国,10.1186/s13100-015-0041-9,country_paper
美国,10.2196/21279,country_paper
法国,10.1186/s12913-014-0579-0,country_paper
英国,10.1007/978-1-349-94186-5_84,country_paper
中国,10.1007/s10980-019-00912-w,country_paper
中国,10.1111/1468-2346.12660,country_paper
美国,10.5962/bhl.title.4097,country_paper
中国,10.1093/isq/sqx052,country_paper
中国,10.3390/rs12071130,country_paper
摩洛哥,10.5117/9789053561928,country_paper
中国,10.1002/wrcr.20243,country_paper
突尼斯,10.1186/1746-4269-5-31,country_paper
中国,10.1093/ej/ueab082,country_paper
中国,10.1057/s41254-021-00224-4,country_paper
中国,10.3390/su10103520,country_paper
中国,10.1017/s0305741009990208,country_paper
中国,10.1111/j.1944-8287.2005.tb00255.x,country_paper
中国,10.1093/cjip/pop001,country_paper
中国,10.1111/ciso.12094,country_paper
中国,10.2139/ssrn.3532421,country_paper
中国,10.1016/j.imic.2012.11.002,country_paper
中国,10.1080/09512748.2019.1705882,country_paper
美国,10.1186/s13640-015-0102-5,country_paper
中国,10.1353/arw.2005.0002,country_paper
中国,10.1108/itpd-05-2019-0004,country_paper
中国,10.1080/10670564.2016.1206276,country_paper
利比亚,10.5070/c311008862,country_paper
埃及,10.1353/jwh.2019.0016,country_paper
中国,10.1093/oso/9780198830504.001.0001,country_paper
中国,10.22439/cjas.v18i0.19,country_paper
美国,10.1371/journal.pone.0245327,country_paper
法国,10.3389/fsoc.2022.886498,country_paper
美国,10.1257/jep.15.2.121,country_paper
美国,10.1038/s41598-017-18007-4,country_paper
美国,10.3389/frobt.2018.00037,country_paper
法国,10.1162/089120103321337421,country_paper
土耳其,10.1093/humrep/der037,country_paper
美国,10.1016/j.acn.2004.02.005,country_paper
摩洛哥,10.1523/jneurosci.2612-10.2010,country_paper
美国,10.1111/j.1551-6708.1987.tb00863.x,country_paper
法国,10.1002/2017rg000574,country_paper
中国,10.1257/jep.9.3.15,country_paper
中国,10.1057/ejdr.2009.21,country_paper
美国,10.3389/frsus.2022.1038323,country_paper
中国,10.1257/aer.103.6.2121,country_paper
中国,10.1146/annurev-economics-080315-015041,country_paper
美国,10.1177/0149206316679252,country_paper
中国,10.3386/w14109,country_paper
中国,10.13169/arabstudquar.43.2.0172,country_paper
摩洛哥,10.2307/j.ctv1wsgqzv.10,country_paper
摩洛哥,10.2307/j.ctv1wsgqzv.11,country_paper
摩洛哥,10.2307/j.ctv1wsgqzv.1,country_paper
摩洛哥,10.2307/j.ctv1wsgqzv.3,country_paper
摩洛哥,10.2307/j.ctv1wsgqzv.2,country_paper
摩洛哥,10.2307/j.ctv1wsgqzv,country_paper
突尼斯,10.1093/oso/9780190876036.003.0009,country_paper
摩洛哥,10.2307/j.ctv1wsgqzv.8,country_paper
摩洛哥,10.2307/j.ctv1wsgqzv.7,country_paper
中国,10.5040/9781666988505.ch-16,country_paper
摩洛哥,10.2307/j.ctv1wsgqzv.4,country_paper
摩洛哥,10.2307/j.ctv1wsgqzv.9,country_paper
中国,10.2991/assehr.k.210609.078,country_paper
摩洛哥,10.1515/9780748699209-005,country_paper
中国,10.1163/1877-0339_bec_sim_00133,country_paper
埃及,10.24093/awej/th.322,country_paper
中国,10.1007/978-3-030-44425-9_10,country_paper
摩洛哥,10.2307/j.ctv1wsgqzv.6,country_paper
中国,10.18212/cccs.2009..15.032,country_paper
摩洛哥,10.2307/j.ctv1wsgqzv.5,country_paper
阿曼,10.1017/cbo9781107053809.001,country_paper
阿曼,10.1017/cbo9781107053809.011,country_paper
中国,10.16997/book69.f,country_paper
中国,10.5040/9781978736405.ch-5,country_paper
中国,10.1007/978-3-031-39259-7_6,country_paper
中国,10.1515/caas-2023-030204,country_paper
阿曼,10.1017/cbo9781107053809.006,country_paper
沙特阿拉伯,10.22452/jat.vol19no1.2,country_paper
埃及,10.21608/jaauth.2014.57687,country_paper
中国,10.5771/9781498544061-65,country_paper
英国,10.1017/s0080440125100431,country_paper
阿曼,10.1017/cbo9781107053809.002,country_paper
中国,10.1515/caas-2024-2007,country_paper
中国,10.5790/hongkong/9789622099401.003.0009,country_paper
中国,10.1007/978-981-19-6000-0_1,country_paper
中国,10.5790/hongkong/9789888805617.003.0005,country_paper
中国,10.1080/17544750.2011.565934,country_paper
埃及,10.5040/9781350985674.ch-008,country_paper
中国,10.5771/9781786609267-ix,country_paper
中国,10.5040/9798881811563.ch-006,country_paper
法国,10.29333/ojcmt/2509,country_paper
英国,10.3726/978-3-653-04835-3/12,country_paper
中国,10.23977/mediacr.2025.060415,country_paper
法国,10.3726/978-3-653-04329-7/24,country_paper
美国,10.4324/9780203811016-14,country_paper
中国,10.5220/0014759200004995,country_paper
中国,10.4324/9780203021804-7,country_paper
中国,10.46539/gmd.v6i4.501,country_paper
苏丹,10.1386/jammr.8.3.255_1,country_paper
中国,10.1386/jams_00149_2,country_paper
法国,10.1108/13527600410797729,country_paper
