topic,year,count
Tourism,2025,281
Tourism,2024,279
Tourism,2026,250
Tourism,2022,229
Tourism,2023,226
Tourism,2020,171
Tourism,2021,163
Tourism,2017,145
Heritage,2025,144
Tourism,2018,138
Heritage,2023,128
Tourism,2019,122
Heritage,2026,118
文化,2025,107
Heritage,2022,98
Tourism,2014,94
Tourism,2016,94
Heritage,2020,89
Heritage,2017,85
Heritage,2024,85
Cultural Heritage,2025,82
Tourism,2015,78
Tourism,2013,77
Heritage,2019,77
Heritage,2021,76
Tourism,2012,69
Digital,2025,65
旅游,2025,65
Destination,2026,64
Heritage,2018,63
Cultural Heritage,2023,62
Cultural Heritage,2026,61
Generative Ai,2025,60
Destination,2025,55
文化,2026,55
Destination,2022,53
Heritage,2016,50
Generative Ai,2026,48
Tourism,2006,47
Cultural Heritage,2022,47
Digital,2026,47
China,2023,45
Digital,2024,45
Heritage,2015,44
Cultural Heritage,2024,44
Tourism,2003,43
Road,2020,43
Destination,2023,42
Destination,2024,42
In Tourism,2026,39
Road,2018,38
Tourism In,2023,38
数字,2025,38
Destination,2021,37
Heritage,2013,36
Silk,2020,36
Tourism,2010,35
Cultural Heritage,2020,35
Destination,2019,34
Silk Road,2020,34
Road,2022,34
Digital,2023,34
Destination,2020,33
Digital,2022,33
Smart,2024,33
Marketing,2025,33
旅游,2026,33
Tourism,2008,32
China,2020,32
Tourist,2025,32
Destination Image,2026,32
Arab,2017,31
China,2025,31
Heritage,2014,30
Tourist,2024,30
中国,2025,30
Tourism,2011,29
Arab,2020,29
跨文化,2025,29
Smart,2026,29
Sustainable,2026,29
Tourism,2009,28
Arab,2019,27
Cultural Heritage,2019,27
Digital,2020,27
Smart,2022,27
Arab,2023,27
Smart Tourism,2024,27
Tourism,2004,26
Cultural Heritage,2017,26
China,2024,26
Sustainable,2024,26
In Tourism,2025,26
Sustainable,2025,26
数字,2026,26
Arab,2014,25
Cultural Heritage,2021,25
Tourist,2021,25
Learning,2022,25
Tourist,2022,25
Road,2023,25
Generative Ai,2024,25
Virtual,2025,25
Heritage,2007,24
Tourism,2007,24
Destination,2018,24
Sustainable,2023,24
In Tourism,2024,24
Tourism In,2024,24
Learning,2025,24
Arabia,2026,24
Marketing,2026,24
Saudi Arabia,2026,24
Arab,2012,23
Heritage,2012,23
Tourism In,2018,23
Learning,2019,23
Tourist,2023,23
Metaverse,2024,23
Smart,2025,23
文化传播,2025,23
Outbound Tourism,2014,22
Arab,2016,22
Digital,2021,22
Silk,2022,22
Silk Road,2022,22
Museum,2023,22
Of Tourism,2023,22
Arabic,2024,22
Marketing,2024,22
Virtual,2024,22
Intangible Cultural Heritage,2025,22
Tourism In,2025,22
Ai-Generated,2026,22
World Heritage,2016,21
Cultural Heritage,2018,21
China,2019,21
Road,2019,21
Of Tourism,2020,21
Sustainable,2020,21
Arab,2022,21
Tourism In,2022,21
Destination Image,2025,21
Governance,2025,21
Road,2025,21
Travel,2025,21
Smart Tourism,2026,21
Heritage,2010,20
Carrying Capacity,2017,20
Destination,2017,20
World Heritage,2019,20
Culture,2022,20
In Tourism,2022,20
Pilgrimage,2023,20
Arabia,2024,20
Cultural Tourism,2024,20
Of Tourism,2024,20
Arabia,2025,20
Saudi Arabia,2025,20
China,2026,20
中国,2026,20
China,2017,19
Tourist,2020,19
China,2021,19
Smart,2021,19
Museum,2022,19
Of Tourism,2022,19
Policy,2022,19
Sustainable,2022,19
Saudi Arabia,2024,19
Knowledge Graph,2025,19
Ai In,2026,19
China,2012,18
Maritime Silk,2020,18
Maritime Silk Road,2020,18
Tourism In,2020,18
旅游,2020,18
Marketing,2021,18
Smart,2023,18
Tourism/Cultural Exchange (宽泛匹配),2024,18
Travel,2024,18
Cultural Tourism,2025,18
Culture,2025,18
Education,2025,18
Of Tourism,2025,18
Smart Tourism,2025,18
Tourists,2025,18
Heritage,2003,17
Heritage,2008,17
Arab,2015,17
Cultural Heritage,2015,17
Cultural Heritage,2016,17
Middle East,2018,17
Museum,2020,17
In Tourism,2021,17
Learning,2021,17
Museum,2021,17
Destination Image,2022,17
Intangible Cultural Heritage,2023,17
Silk,2023,17
Arab,2024,17
Heritage Tourism,2024,17
Road,2024,17
Heritage Tourism,2025,17
Of Generative Ai,2025,17
Virtual Reality,2025,17
Heritage,2011,16
Tourism In,2017,16
Silk,2018,16
Tourist,2018,16
Digital,2019,16
Silk,2019,16
Tourist,2019,16
Tourists,2020,16
Arab,2021,16
Tourism/Cultural Exchange (宽泛匹配),2021,16
Marketing,2022,16
Smart Tourism,2022,16
Artificial,2023,16
Destination Image,2023,16
Heritage Diplomacy,2023,16
In China,2023,16
Policy,2023,16
Tourists,2023,16
Museum,2025,16
Heritage Tourism,2026,16
Tourism,2002,15
Sustainable,2012,15
Destination,2013,15
