model,seed,horizon,forecast_origin,history_start,history_end,target_year,train_cutoff,topic_count
full,42,1,2019,2012,2019,2020,2019,100
full,42,3,2019,2012,2019,2022,2019,100
full,42,5,2019,2012,2019,2024,2019,100
full,123,1,2019,2012,2019,2020,2019,100
full,123,3,2019,2012,2019,2022,2019,100
full,123,5,2019,2012,2019,2024,2019,100
full,2026,1,2019,2012,2019,2020,2019,100
full,2026,3,2019,2012,2019,2022,2019,100
full,2026,5,2019,2012,2019,2024,2019,100
full,3407,1,2019,2012,2019,2020,2019,100
full,3407,3,2019,2012,2019,2022,2019,100
full,3407,5,2019,2012,2019,2024,2019,100
full,7777,1,2019,2012,2019,2020,2019,100
full,7777,3,2019,2012,2019,2022,2019,100
full,7777,5,2019,2012,2019,2024,2019,100
no_log,42,1,2019,2012,2019,2020,2019,100
no_log,42,3,2019,2012,2019,2022,2019,100
no_log,42,5,2019,2012,2019,2024,2019,100
window12,42,1,2019,2008,2019,2020,2019,100
window12,42,3,2019,2008,2019,2022,2019,100
window12,42,5,2019,2008,2019,2024,2019,100
stoch64,42,1,2019,2012,2019,2020,2019,100
stoch64,42,3,2019,2012,2019,2022,2019,100
stoch64,42,5,2019,2012,2019,2024,2019,100
no_dyn_kl,42,1,2019,2012,2019,2020,2019,100
no_dyn_kl,42,3,2019,2012,2019,2022,2019,100
no_dyn_kl,42,5,2019,2012,2019,2024,2019,100
