model,seed,horizon,forecast_origin,history_start,history_end,target_year,train_cutoff,topic_id,prediction,actual,predicted_growth,actual_growth
full,42,1,2019,2012,2019,2020,2019,21st century,15.2144136428833,44.0,-16.7855863571167,12.0
full,42,1,2019,2012,2019,2020,2019,3d laser,12.834844589233398,46.0,-25.1651554107666,8.0
full,42,1,2019,2012,2019,2020,2019,3d laser scanning,11.175063133239746,38.0,-18.824936866760254,8.0
full,42,1,2019,2012,2019,2020,2019,3d modeling,0.9930148720741272,3.0,-8.006985127925873,-6.0
full,42,1,2019,2012,2019,2020,2019,3d modelling,6.788743495941162,9.0,-2.211256504058838,0.0
full,42,1,2019,2012,2019,2020,2019,3d models,7.303574562072754,32.0,-24.696425437927246,0.0
full,42,1,2019,2012,2019,2020,2019,3d printing,1.06148362159729,17.0,-7.93851637840271,8.0
full,42,1,2019,2012,2019,2020,2019,3d scanning,11.394575119018555,39.0,-18.605424880981445,9.0
full,42,1,2019,2012,2019,2020,2019,abroad,11.792799949645996,8.0,-18.207200050354004,-22.0
full,42,1,2019,2012,2019,2020,2019,acceptance,7.648111820220947,22.0,-29.351888179779053,-15.0
full,42,1,2019,2012,2019,2020,2019,access,5.334658145904541,64.0,-58.66534185409546,0.0
full,42,1,2019,2012,2019,2020,2019,accessible,2.276005268096924,6.0,-3.723994731903076,0.0
full,42,1,2019,2012,2019,2020,2019,accuracy,-0.00798872485756874,0.0,-0.00798872485756874,0.0
full,42,1,2019,2012,2019,2020,2019,accurate,3.43361234664917,10.0,-6.56638765335083,0.0
full,42,1,2019,2012,2019,2020,2019,achieving,1.6286166906356812,39.0,-12.371383309364319,25.0
full,42,1,2019,2012,2019,2020,2019,acknowledgements,1.4699970483779907,5.0,-3.5300029516220093,0.0
full,42,1,2019,2012,2019,2020,2019,acquisition,-0.00798872485756874,0.0,-0.00798872485756874,0.0
full,42,1,2019,2012,2019,2020,2019,action,9.991032600402832,263.0,-247.00896739959717,6.0
full,42,1,2019,2012,2019,2020,2019,activism,0.6942142248153687,10.0,-5.305785775184631,4.0
full,42,1,2019,2012,2019,2020,2019,activities,14.876172065734863,47.0,-19.123827934265137,13.0
full,42,1,2019,2012,2019,2020,2019,activity,15.601725578308105,37.0,-29.398274421691895,-8.0
full,42,1,2019,2012,2019,2020,2019,adaptation,5.160904407501221,24.0,-20.83909559249878,-2.0
full,42,1,2019,2012,2019,2020,2019,adaptive,12.266117095947266,12.0,-8.733882904052734,-9.0
full,42,1,2019,2012,2019,2020,2019,addressing,3.285996675491333,9.0,-5.714003324508667,0.0
full,42,1,2019,2012,2019,2020,2019,aden,2.9685075283050537,8.0,-5.031492471694946,0.0
full,42,1,2019,2012,2019,2020,2019,adoption,14.10225772857666,46.0,-19.89774227142334,12.0
full,42,1,2019,2012,2019,2020,2019,adults,-0.00798872485756874,0.0,-0.00798872485756874,0.0
full,42,1,2019,2012,2019,2020,2019,advanced,17.098230361938477,34.0,-16.901769638061523,0.0
full,42,1,2019,2012,2019,2020,2019,advances,14.291236877441406,44.0,-17.708763122558594,12.0
full,42,1,2019,2012,2019,2020,2019,advances in,8.56075668334961,16.0,-7.439243316650391,0.0
full,42,1,2019,2012,2019,2020,2019,advancing,1.4244716167449951,18.0,-7.575528383255005,9.0
full,42,1,2019,2012,2019,2020,2019,advantages,-0.00798872485756874,0.0,-0.00798872485756874,0.0
full,42,1,2019,2012,2019,2020,2019,advertising,3.5858192443847656,8.0,-6.414180755615234,-2.0
full,42,1,2019,2012,2019,2020,2019,africa,25.949541091918945,227.0,-193.05045890808105,8.0
full,42,1,2019,2012,2019,2020,2019,african,8.967753410339355,60.0,-40.032246589660645,11.0
full,42,1,2019,2012,2019,2020,2019,afterword,3.5702896118164062,11.0,-7.429710388183594,0.0
full,42,1,2019,2012,2019,2020,2019,against,5.283865928649902,18.0,-12.716134071350098,0.0
full,42,1,2019,2012,2019,2020,2019,age of,20.777109146118164,178.0,-98.22289085388184,59.0
full,42,1,2019,2012,2019,2020,2019,agencies,3.285996675491333,18.0,-5.714003324508667,9.0
full,42,1,2019,2012,2019,2020,2019,agenda,20.98484230041504,81.0,-31.01515769958496,29.0
full,42,1,2019,2012,2019,2020,2019,agentic,-0.00798872485756874,0.0,-0.00798872485756874,0.0
