model,seed,horizon,forecast_origin,history_start,history_end,target_year,train_cutoff,topic_id,prediction,actual,predicted_growth,actual_growth
full,42,1,2019,2012,2019,2020,2019,旅游,103.78186798095703,3486.0,-2927.218132019043,455.0
full,42,1,2019,2012,2019,2020,2019,tour,97.84647369384766,3300.0,-2795.1535263061523,407.0
full,42,1,2019,2012,2019,2020,2019,文化,96.80231475830078,2014.0,-1607.1976852416992,310.0
full,42,1,2019,2012,2019,2020,2019,nation,96.49787902832031,1766.0,-1386.5021209716797,283.0
full,42,1,2019,2012,2019,2020,2019,遗产,92.15666961669922,1587.0,-1258.8433303833008,236.0
full,42,1,2019,2012,2019,2020,2019,阿拉伯,78.9245834350586,881.0,-751.0754165649414,51.0
full,42,1,2019,2012,2019,2020,2019,发展,81.97901153564453,899.0,-674.0209884643555,143.0
full,42,1,2019,2012,2019,2020,2019,目的地,78.74931335449219,794.0,-606.2506866455078,109.0
full,42,1,2019,2012,2019,2020,2019,world,79.20411682128906,786.0,-604.7958831787109,102.0
full,42,1,2019,2012,2019,2020,2019,view,81.71780395507812,905.0,-590.2821960449219,233.0
full,42,1,2019,2012,2019,2020,2019,rate,77.72183227539062,683.0,-558.2781677246094,47.0
full,42,1,2019,2012,2019,2020,2019,city,74.83112335205078,681.0,-560.1688766479492,46.0
full,42,1,2019,2012,2019,2020,2019,研究,80.83995819091797,734.0,-513.160041809082,140.0
full,42,1,2019,2012,2019,2020,2019,艺术,81.7206039428711,646.0,-479.2793960571289,85.0
full,42,1,2019,2012,2019,2020,2019,site,76.58507537841797,657.0,-477.41492462158203,103.0
full,42,1,2019,2012,2019,2020,2019,image,74.94293975830078,662.0,-462.0570602416992,125.0
full,42,1,2019,2012,2019,2020,2019,社会,75.11187744140625,616.0,-447.88812255859375,93.0
full,42,1,2019,2012,2019,2020,2019,media,75.12664794921875,576.0,-442.87335205078125,58.0
full,42,1,2019,2012,2019,2020,2019,search,78.35090637207031,632.0,-438.6490936279297,115.0
full,42,1,2019,2012,2019,2020,2019,work,75.72002410888672,529.0,-418.2799758911133,35.0
full,42,1,2019,2012,2019,2020,2019,中国,72.37451171875,537.0,-324.62548828125,140.0
full,42,1,2019,2012,2019,2020,2019,国家,70.98987579345703,492.0,-322.01012420654297,99.0
full,42,1,2019,2012,2019,2020,2019,影响,73.10491943359375,466.0,-296.89508056640625,96.0
full,42,1,2019,2012,2019,2020,2019,挑战,69.72664642333984,476.0,-300.27335357666016,106.0
