source,target,weight
Priewe,Smith,24
Kim,Kim,14
Li,Zhang,14
Liu,Wang,13
Li,Wang,13
Kim,Lee,12
Wang,Zhang,11
Gardner,Hanna,10
Lifeng,Shaoshi,10
Jizhe,Shaoshi,10
Shaoshi,Xiaotao,10
Chaoyang,Shaoshi,10
Jizhe,Lifeng,10
Lifeng,Xiaotao,10
Chaoyang,Lifeng,10
Jizhe,Xiaotao,10
Chaoyang,Jizhe,10
Chaoyang,Xiaotao,10
Chen,Li,10
Li,Yang,9
Li,Li,9
Abraham,Gaur,9
Kim,Park,9
Chen,Wang,8
Liu,Zhang,8
Zhang,Zhao,8
Chen,Zhang,8
Guo,Li,7
Wang,Wang,6
Li,Zeng,6
Jongryul,Kim,6
Jaedong,Kim,6
Kim,Spalatin,6
Jaedong,Jongryul,6
Jongryul,Spalatin,6
Jaedong,Spalatin,6
Li,Liu,6
Sharma,Singh,6
-,-,6
Aspray,Cortada,6
Nripendra P. Rana,Yogesh K. Dwivedi,5
Dwairy,Jagelman,5
Zhang,Zhang,5
Liu,Zhou,5
Musinguzi,Tukamushaba,5
El Khatib,Musinguzi,5
El Khatib,Tukamushaba,5
Li,Zhou,5
Chen,Guo,5
Romão,Rouhani,5
Chen,Zhu,5
Lähdesmäki,Čeginskas,5
Ma,Wang,5
Li,Yu,5
Guo,Zhang,5
Wang,Yu,5
Chen,Lan,5
Maffi,Pasini,5
Pham,Tran,5
Ludo Waltman,Nees Jan van Eck,4
Andrew Lewis,Seyed Mohammad Mirjalili,4
Cristiana Abbafati,Kalkidan Hassen Abate,4
Isabelle Boutron,Tammy Hoffmann,4
Laurie Hughes,Yogesh K. Dwivedi,4
Emma Slade,Yogesh K. Dwivedi,4
Elvira Ismagilova,Yogesh K. Dwivedi,4
Andras,Inotai,4
M. Claudia tom Dieck,Timothy Jung,4
吴,陈,4
Yu,Zhang,4
Han,Li,4
Huang,Li,4
Huang,Zhang,4
Kang,Kim,4
Pierpaoli,Tucker,4
Almuhrzi,Scott,4
Almuhrzi,Alriyami,4
Alriyami,Scott,4
Naqvi,Rizwan,4
Fan,Wang,4
Zeng,Zhang,4
Liu,Tang,4
Li,Wu,4
Paupério,Romão,4
Wang,Xu,4
Lin,Zhang,4
Hu,Yang,4
Hu,Li,4
Yang,Zhou,4
Bashir,Singh,4
Lehto,Li,4
Shi,Xu,4
Chang,Yu,4
Huang,Yu,4
Tang,Zhang,4
Wang,Wu,4
Mogomotsi,Stone,4
Le,Pham,4
Nguyen,Pham,4
Nguyen,Phan,4
Stylos,Zwiegelaar,4
Callieri,Dellepiane,4
Christian M. Ringle,Marko Sarstedt,3
Douglas G. Altman,Jennifer Tetzlaff,3
Douglas G. Altman,Peter C Gøtzsche,3
Cristiana Abbafati,Kaja Abbas,3
Cristiana Abbafati,Solomón Mequanente Abay,3
Matthew J. Page,Patrick M. Bossuyt,3
Isabelle Boutron,Matthew J. Page,3
Matthew J. Page,Tammy Hoffmann,3
Isabelle Boutron,Patrick M. Bossuyt,3
Patrick M. Bossuyt,Tammy Hoffmann,3
Jie Chen,Sunghwan Kim,3
Ahmed I. Osman,Ahmed M. Elgarahy,3
Daron Acemoğlu,Pascual Restrepo,3
Matthias Breier,Sascha Kraus,3
Ahmed I. Osman,Mohamed Farghali,3
Marcos Zampieri,Shervin Malmasi,3
Ian T. Cousins,Juliane Glüge,3
Jamie C. DeWitt,Juliane Glüge,3
Gretta Goldenman,Juliane Glüge,3
Ian T. Cousins,Jamie C. DeWitt,3
Gretta Goldenman,Ian T. Cousins,3
Gretta Goldenman,Jamie C. DeWitt,3
Sakr,Steemers,3
张,王,3
张,陈,3
Chen,Yu,3
Wang,Xiong,3
Deng,Zhang,3
Chen,Zhou,3
