序号,查询词,类别,服务场景,热点命中,前沿命中,相关性,耗时(ms)
1,文化遗产,文化遗产,教师科研,2,1,100,0.0
2,非物质文化遗产,文化遗产,学生选题,2,1,100,0.0
3,文物数字化,文化遗产,馆员服务,2,1,100,0.0
4,cultural heritage,文化遗产,科研管理,0,0,0,0.0
5,遗产保护,文化遗产,教师科研,1,0,45,0.0
6,文化旅游,旅游,学生选题,2,2,100,0.0
7,智慧旅游,旅游,馆员服务,2,1,100,0.0
8,可持续旅游,旅游,科研管理,2,1,100,0.0
9,cultural tourism,旅游,教师科研,0,0,0,0.0
10,文旅融合,旅游,学生选题,1,1,36,0.0
11,一带一路,中阿关系,科研管理,1,1,100,0.0
12,跨文化传播,中阿关系,教师科研,2,2,100,0.0
13,silk road,中阿关系,学生选题,0,0,0,0.0
14,中阿合作,中阿关系,馆员服务,1,1,69,0.0
15,阿拉伯文化,中阿关系,科研管理,2,2,100,0.0
16,数字文旅,数字文旅,馆员服务,1,0,33,0.0
17,数字人文,数字文旅,教师科研,1,0,33,0.0
18,knowledge graph,数字文旅,学生选题,0,0,0,0.0
19,LLM,数字文旅,科研管理,0,0,0,0.0
20,人工智能,数字文旅,馆员服务,0,0,0,0.0
