评价者编号,任务ID,"条件(A/B, 随机化后填写)",前沿识别准确性(1-5),前瞻性(1-5),新颖性(1-5),证据充分性(1-5),证据可追溯性(1-5),对学科服务决策的帮助(1-5),纳入学科前沿报告的意愿(1-5),完成时间(秒),评价者信心(1-5),质性反馈
R1,T1,,,,,,,,,,,
R1,T2,,,,,,,,,,,
R1,T3,,,,,,,,,,,
R1,T4,,,,,,,,,,,
R1,T5,,,,,,,,,,,
R1,T6,,,,,,,,,,,
R1,T7,,,,,,,,,,,
R1,T8,,,,,,,,,,,
R1,T9,,,,,,,,,,,
R2,T1,,,,,,,,,,,
R2,T2,,,,,,,,,,,
R2,T3,,,,,,,,,,,
R2,T4,,,,,,,,,,,
R2,T5,,,,,,,,,,,
R2,T6,,,,,,,,,,,
R2,T7,,,,,,,,,,,
R2,T8,,,,,,,,,,,
R2,T9,,,,,,,,,,,
R3,T1,,,,,,,,,,,
R3,T2,,,,,,,,,,,
R3,T3,,,,,,,,,,,
R3,T4,,,,,,,,,,,
R3,T5,,,,,,,,,,,
R3,T6,,,,,,,,,,,
R3,T7,,,,,,,,,,,
R3,T8,,,,,,,,,,,
R3,T9,,,,,,,,,,,
R4,T1,,,,,,,,,,,
R4,T2,,,,,,,,,,,
R4,T3,,,,,,,,,,,
R4,T4,,,,,,,,,,,
R4,T5,,,,,,,,,,,
R4,T6,,,,,,,,,,,
R4,T7,,,,,,,,,,,
R4,T8,,,,,,,,,,,
R4,T9,,,,,,,,,,,
R5,T1,,,,,,,,,,,
R5,T2,,,,,,,,,,,
R5,T3,,,,,,,,,,,
R5,T4,,,,,,,,,,,
R5,T5,,,,,,,,,,,
R5,T6,,,,,,,,,,,
R5,T7,,,,,,,,,,,
R5,T8,,,,,,,,,,,
R5,T9,,,,,,,,,,,
R6,T1,,,,,,,,,,,
R6,T2,,,,,,,,,,,
R6,T3,,,,,,,,,,,
R6,T4,,,,,,,,,,,
R6,T5,,,,,,,,,,,
R6,T6,,,,,,,,,,,
R6,T7,,,,,,,,,,,
R6,T8,,,,,,,,,,,
R6,T9,,,,,,,,,,,
